model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S6 - full a,Escape distance,Gaussian,3504,fixed,(Intercept),0.236,0.007,0.472,"",""
"","","","",fixed,starting distance (ln)),0.465,0.431,0.498,"",""
"","","","",fixed,flock size (ln),-0.021,-0.047,0.004,"",""
"","","","",fixed,body mass (ln),0.148,0.04,0.263,"",""
"","","","",fixed,time (sine of radians),0.022,-0.014,0.059,"",""
"","","","",fixed,time (cosine of radians),-0.006,-0.038,0.026,"",""
"","","","",fixed,temperaturre,-0.027,-0.064,0.011,"",""
"","","","",fixed,humans present,-0.008,-0.036,0.021,"",""
"","","","",random,species within day & year (Intercept),7%,7%,8%,"",""
"","","","",random,species within site (Intercept),3%,2%,3%,"",""
"","","","",random,site (Intercept),9%,8%,10%,"",""
"","","","",random,species (Intercept),3%,3%,4%,"",""
"","","","",random,genus (Intercept),13%,10%,15%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,0%,0%,"",""
"","","","",random,Year (Intercept),6%,4%,10%,"",""
"","","","",random,Residual,59%,52%,65%,"",""
Table S6 - full b,Escape distance,Gaussian,3504,fixed,(Intercept),0.245,-0.135,0.631,"",""
"","","","",fixed,flock size (ln),-0.004,-0.032,0.024,"",""
"","","","",fixed,body mass (ln),0.284,0.15,0.419,"",""
"","","","",fixed,time (sine of radians),0.035,-0.007,0.077,"",""
"","","","",fixed,time (cosine of radians),0.014,-0.023,0.049,"",""
"","","","",fixed,temperaturre,-0.027,-0.071,0.016,"",""
"","","","",fixed,humans present,0,-0.031,0.032,"",""
"","","","",random,species within day & year (Intercept),7%,6%,8%,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,site (Intercept),17%,16%,16%,"",""
"","","","",random,species (Intercept),3%,2%,3%,"",""
"","","","",random,genus (Intercept),15%,13%,17%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),4%,0%,11%,"",""
"","","","",random,Year (Intercept),6%,4%,10%,"",""
"","","","",random,Residual,46%,36%,54%,"",""
Table S6 - FI a,Escape distance,Gaussian,761,fixed,(Intercept),-0.02,-0.221,0.181,0.210034708037443,0.485171076156294
"","","","",fixed,year,-0.107,-0.188,-0.027,"",""
"","","","",fixed,starting distance (ln)),0.289,0.225,0.355,"",""
"","","","",fixed,flock size (ln),-0.066,-0.13,-0.001,"",""
"","","","",fixed,body mass (ln),0.127,-0.015,0.268,"",""
"","","","",fixed,time (sine of radians),0.106,0.03,0.183,"",""
"","","","",fixed,time (cosine of radians),-0.035,-0.105,0.035,"",""
"","","","",fixed,temperaturre,-0.173,-0.253,-0.087,"",""
"","","","",fixed,humans present,-0.009,-0.071,0.057,"",""
"","","","",random,species within day & year (Intercept),13%,13%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),9%,8%,11%,"",""
"","","","",random,species (Intercept),4%,2%,5%,"",""
"","","","",random,genus (Intercept),3%,2%,4%,"",""
"","","","",random,weekday (Intercept),1%,0%,2%,"",""
"","","","",random,Residual,66%,61%,71%,"",""
Table S6 - FI b,Escape distance,Gaussian,761,fixed,(Intercept),-0.098,-0.338,0.139,0.137184795093652,0.478902980678888
"","","","",fixed,year,-0.047,-0.13,0.037,"",""
"","","","",fixed,flock size (ln),-0.031,-0.096,0.033,"",""
"","","","",fixed,body mass (ln),0.241,0.077,0.402,"",""
"","","","",fixed,time (sine of radians),0.115,0.032,0.198,"",""
"","","","",fixed,time (cosine of radians),-0.048,-0.123,0.027,"",""
"","","","",fixed,temperaturre,-0.177,-0.267,-0.091,"",""
"","","","",fixed,humans present,-0.009,-0.074,0.057,"",""
"","","","",random,species within day & year (Intercept),12%,12%,13%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),12%,10%,14%,"",""
"","","","",random,species (Intercept),6%,4%,8%,"",""
"","","","",random,genus (Intercept),3%,1%,4%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,61%,55%,67%,"",""
Table S6 - PL a,Escape distance,Gaussian,263,fixed,(Intercept),0.074,-0.079,0.226,"",""
"","","","",fixed,starting distance (ln)),0.573,0.478,0.67,"",""
"","","","",fixed,flock size (ln),-0.036,-0.126,0.059,"",""
"","","","",fixed,body mass (ln),-0.159,-0.294,-0.022,"",""
"","","","",fixed,time (sine of radians),-0.086,-0.252,0.07,"",""
"","","","",fixed,time (cosine of radians),0.038,-0.103,0.175,"",""
"","","","",fixed,temperaturre,-0.059,-0.18,0.062,"",""
"","","","",fixed,humans present,-0.106,-0.202,-0.013,"",""
"","","","",random,species within day & year (Intercept),17%,16%,17%,"",""
"","","","",random,species (Intercept),12%,9%,15%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,71%,68%,75%,"",""
Table S6 - PL b,Escape distancey,Gaussian,263,fixed,(Intercept),0.26,-0.025,0.543,"",""
"","","","",fixed,flock size (ln),0.028,-0.083,0.143,"",""
"","","","",fixed,body mass (ln),0.012,-0.218,0.247,"",""
"","","","",fixed,time (sine of radians),-0.084,-0.267,0.106,"",""
"","","","",fixed,time (cosine of radians),0.015,-0.153,0.186,"",""
"","","","",fixed,temperaturre,-0.093,-0.238,0.054,"",""
"","","","",fixed,humans present,-0.15,-0.267,-0.036,"",""
"","","","",random,species within day & year (Intercept),15%,14%,16%,"",""
"","","","",random,species (Intercept),43%,36%,48%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,42%,38%,49%,"",""
Table S6 - CZ a,Escape distance,Gaussian,1024,fixed,(Intercept),0.236,0.041,0.434,"",""
"","","","",fixed,year,0.197,0.106,0.288,"",""
"","","","",fixed,starting distance (ln)),0.335,0.26,0.411,"",""
"","","","",fixed,flock size (ln),-0.003,-0.049,0.044,"",""
"","","","",fixed,body mass (ln),0.199,0.045,0.353,"",""
"","","","",fixed,time (sine of radians),0.017,-0.106,0.139,"",""
"","","","",fixed,time (cosine of radians),-0.036,-0.159,0.087,"",""
"","","","",fixed,temperaturre,0.069,-0.003,0.14,"",""
"","","","",fixed,humans present,0.003,-0.048,0.054,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),6%,4%,7%,"",""
"","","","",random,genus (Intercept),12%,9%,14%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,60%,53%,67%,"",""
Table S6 - CZ b,Escape distance,Gaussian,1024,fixed,(Intercept),0.238,0.044,0.432,"",""
"","","","",fixed,year,0.196,0.106,0.288,"",""
"","","","",fixed,starting distance (ln)),0.335,0.261,0.412,"",""
"","","","",fixed,flock size (ln),-0.002,-0.049,0.045,"",""
"","","","",fixed,body mass (ln),0.198,0.048,0.358,"",""
"","","","",fixed,time (sine of radians),0.017,-0.107,0.141,"",""
"","","","",fixed,time (cosine of radians),-0.035,-0.163,0.088,"",""
"","","","",fixed,temperaturre,0.07,0.001,0.14,"",""
"","","","",fixed,humans present,0.004,-0.048,0.054,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),6%,5%,8%,"",""
"","","","",random,genus (Intercept),12%,9%,14%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,60%,53%,67%,"",""
Table S6 - HU a,Escape distance,Gaussian,1456,fixed,(Intercept),0.09,-0.121,0.297,"",""
"","","","",fixed,year,-0.068,-0.128,-0.009,"",""
"","","","",fixed,starting distance (ln)),0.49,0.443,0.537,"",""
"","","","",fixed,flock size (ln),-0.02,-0.061,0.02,"",""
"","","","",fixed,body mass (ln),-0.061,-0.189,0.066,"",""
"","","","",fixed,time (sine of radians),-0.068,-0.124,-0.013,"",""
"","","","",fixed,time (cosine of radians),0.027,-0.02,0.075,"",""
"","","","",fixed,temperaturre,0.021,-0.035,0.077,"",""
"","","","",fixed,humans present,0.018,-0.025,0.061,"",""
"","","","",random,species within day & year (Intercept),9%,8%,9%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),2%,1%,3%,"",""
"","","","",random,genus (Intercept),8%,5%,11%,"",""
"","","","",random,site (Intercept),4%,1%,7%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,75%,68%,83%,"",""
Table S6 - HU b,Escape distance,Gaussian,1456,fixed,(Intercept),0.073,-0.269,0.419,"",""
"","","","",fixed,year,-0.067,-0.137,0.004,"",""
"","","","",fixed,flock size (ln),-0.019,-0.066,0.028,"",""
"","","","",fixed,body mass (ln),0.198,0.008,0.395,"",""
"","","","",fixed,time (sine of radians),-0.098,-0.164,-0.032,"",""
"","","","",fixed,time (cosine of radians),0.037,-0.015,0.09,"",""
"","","","",fixed,temperaturre,0.027,-0.041,0.094,"",""
"","","","",fixed,humans present,0.032,-0.016,0.081,"",""
"","","","",random,species within day & year (Intercept),10%,9%,11%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),1%,1%,2%,"",""
"","","","",random,genus (Intercept),20%,15%,25%,"",""
"","","","",random,site (Intercept),9%,4%,14%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,58%,48%,69%,"",""
