model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S7 - FI b,Escape distance,Gaussian,513,fixed,(Intercept),-0.064,-0.332,0.188,"",""
"","","","",fixed,year,-0.056,-0.152,0.044,"",""
"","","","",fixed,flock size (ln),-0.076,-0.159,0.007,"",""
"","","","",fixed,body mass (ln),0.204,0.03,0.377,"",""
"","","","",fixed,time (sine of radians),0.071,-0.023,0.165,"",""
"","","","",fixed,time (cosine of radians),-0.04,-0.128,0.045,"",""
"","","","",fixed,temperaturre,-0.159,-0.268,-0.049,"",""
"","","","",fixed,humans (ln)),-0.151,-0.228,-0.072,"",""
"","","","",random,species within day & year (Intercept),16%,15%,16%,"",""
"","","","",random,species within site (Intercept),4%,4%,4%,"",""
"","","","",random,site (Intercept),4%,3%,5%,"",""
"","","","",random,species (Intercept),11%,8%,15%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),5%,2%,8%,"",""
"","","","",random,Residual,60%,54%,67%,"",""
Table S7 - PL a,Escape distance,Gaussian,253,fixed,(Intercept),0.086,-0.071,0.244,"",""
"","","","",fixed,starting distance (ln)),0.578,0.48,0.677,"",""
"","","","",fixed,flock size (ln),-0.038,-0.133,0.059,"",""
"","","","",fixed,body mass (ln),-0.17,-0.31,-0.031,"",""
"","","","",fixed,time (sine of radians),-0.1,-0.269,0.063,"",""
"","","","",fixed,time (cosine of radians),0.046,-0.095,0.195,"",""
"","","","",fixed,temperaturre,-0.072,-0.2,0.056,"",""
"","","","",fixed,humans (ln)),0.004,-0.103,0.116,"",""
"","","","",random,species within day & year (Intercept),16%,15%,17%,"",""
"","","","",random,species (Intercept),15%,11%,18%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,69%,65%,74%,"",""
Table S7 - PL b,Escape distancey,Gaussian,253,fixed,(Intercept),0.284,-0.02,0.594,"",""
"","","","",fixed,flock size (ln),0.029,-0.082,0.145,"",""
"","","","",fixed,body mass (ln),-0.02,-0.261,0.223,"",""
"","","","",fixed,time (sine of radians),-0.087,-0.289,0.11,"",""
"","","","",fixed,time (cosine of radians),0.023,-0.149,0.201,"",""
"","","","",fixed,temperaturre,-0.104,-0.264,0.049,"",""
"","","","",fixed,humans (ln)),0.014,-0.119,0.144,"",""
"","","","",random,species within day & year (Intercept),15%,14%,15%,"",""
"","","","",random,species (Intercept),45%,38%,50%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,41%,36%,47%,"",""
Table S7 - CZ a,Escape distance,Gaussian,928,fixed,(Intercept),0.23,0.042,0.422,"",""
"","","","",fixed,year,0.2,0.107,0.296,"",""
"","","","",fixed,starting distance (ln)),0.315,0.231,0.394,"",""
"","","","",fixed,flock size (ln),-0.002,-0.052,0.046,"",""
"","","","",fixed,body mass (ln),0.191,0.036,0.347,"",""
"","","","",fixed,time (sine of radians),0.052,-0.083,0.186,"",""
"","","","",fixed,time (cosine of radians),-0.072,-0.199,0.062,"",""
"","","","",fixed,temperaturre,0.084,0.015,0.155,"",""
"","","","",fixed,humans (ln)),-0.058,-0.121,0.006,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species within day & year (Intercept),7%,6%,7%,"",""
"","","","",random,species (Intercept),19%,16%,23%,"",""
"","","","",random,site (Intercept),4%,3%,5%,"",""
"","","","",random,genus (Intercept),10%,8%,13%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,59%,53%,66%,"",""
Table S7 - CZ b,Escape distance,Gaussian,928,fixed,(Intercept),0.229,0.042,0.431,"",""
"","","","",fixed,year,0.2,0.105,0.292,"",""
"","","","",fixed,starting distance (ln)),0.315,0.235,0.392,"",""
"","","","",fixed,flock size (ln),-0.003,-0.051,0.046,"",""
"","","","",fixed,body mass (ln),0.192,0.036,0.351,"",""
"","","","",fixed,time (sine of radians),0.052,-0.08,0.182,"",""
"","","","",fixed,time (cosine of radians),-0.073,-0.203,0.059,"",""
"","","","",fixed,temperaturre,0.085,0.017,0.155,"",""
"","","","",fixed,humans (ln)),-0.057,-0.119,0.008,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species within day & year (Intercept),7%,6%,7%,"",""
"","","","",random,species (Intercept),19%,15%,23%,"",""
"","","","",random,site (Intercept),4%,3%,5%,"",""
"","","","",random,genus (Intercept),10%,8%,13%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,59%,52%,66%,"",""
Table S7 - HU a,Escape distance,Gaussian,633,fixed,(Intercept),0.125,-0.144,0.403,0.359369906904938,0.527542478353758
"","","","",fixed,year,0.043,-0.03,0.119,"",""
"","","","",fixed,starting distance (ln)),0.531,0.464,0.597,"",""
"","","","",fixed,flock size (ln),-0.015,-0.071,0.042,"",""
"","","","",fixed,body mass (ln),-0.054,-0.184,0.082,"",""
"","","","",fixed,time (sine of radians),-0.139,-0.211,-0.062,"",""
"","","","",fixed,time (cosine of radians),0.032,-0.03,0.093,"",""
"","","","",fixed,temperaturre,-0.001,-0.083,0.081,"",""
"","","","",fixed,humans (ln)),-0.027,-0.082,0.028,"",""
"","","","",random,species within day & year (Intercept),5%,5%,5%,"",""
"","","","",random,species within site (Intercept),1%,1%,1%,"",""
"","","","",random,species (Intercept),2%,1%,2%,"",""
"","","","",random,genus (Intercept),8%,5%,10%,"",""
"","","","",random,site (Intercept),9%,4%,15%,"",""
"","","","",random,weekday (Intercept),4%,2%,6%,"",""
"","","","",random,Residual,73%,62%,83%,"",""
Table S7 - HU b,Escape distance,Gaussian,633,fixed,(Intercept),0.142,-0.262,0.558,0.06535529374282,0.47429096862066
"","","","",fixed,year,0.09,-0.005,0.181,"",""
"","","","",fixed,flock size (ln),-0.03,-0.1,0.037,"",""
"","","","",fixed,body mass (ln),0.112,-0.084,0.316,"",""
"","","","",fixed,time (sine of radians),-0.173,-0.266,-0.081,"",""
"","","","",fixed,time (cosine of radians),0.025,-0.048,0.098,"",""
"","","","",fixed,temperaturre,0.032,-0.073,0.134,"",""
"","","","",fixed,humans (ln)),-0.024,-0.087,0.041,"",""
"","","","",random,species within day & year (Intercept),9%,8%,10%,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species (Intercept),3%,2%,4%,"",""
"","","","",random,genus (Intercept),11%,7%,13%,"",""
"","","","",random,site (Intercept),18%,11%,25%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,55%,45%,66%,"",""
