model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S7 - full a,Escape distance,Gaussian,2327,fixed,(Intercept),0.252,0,0.486,"",""
"","","","",fixed,starting distance (ln)),0.449,0.408,0.491,"",""
"","","","",fixed,flock size (ln),-0.024,-0.054,0.007,"",""
"","","","",fixed,body mass (ln),0.13,0.021,0.238,"",""
"","","","",fixed,time (sine of radians),0.002,-0.04,0.045,"",""
"","","","",fixed,time (cosine of radians),0.004,-0.034,0.04,"",""
"","","","",fixed,temperaturre,-0.026,-0.07,0.017,"",""
"","","","",fixed,humans (ln)),-0.057,-0.096,-0.021,"",""
"","","","",random,species within day & year (Intercept),8%,7%,9%,"",""
"","","","",random,species within site (Intercept),3%,3%,4%,"",""
"","","","",random,site (Intercept),7%,7%,7%,"",""
"","","","",random,species (Intercept),5%,4%,5%,"",""
"","","","",random,genus (Intercept),10%,8%,11%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),0%,0%,0%,"",""
"","","","",random,Year (Intercept),8%,2%,22%,"",""
"","","","",random,Residual,57%,45%,66%,"",""
Table S7 - full b,Escape distance,Gaussian,2327,fixed,(Intercept),0.234,-0.153,0.612,"",""
"","","","",fixed,flock size (ln),-0.011,-0.044,0.023,"",""
"","","","",fixed,body mass (ln),0.243,0.109,0.377,"",""
"","","","",fixed,time (sine of radians),0.004,-0.045,0.053,"",""
"","","","",fixed,time (cosine of radians),0.023,-0.019,0.063,"",""
"","","","",fixed,temperaturre,-0.029,-0.082,0.022,"",""
"","","","",fixed,humans (ln)),-0.059,-0.103,-0.015,"",""
"","","","",random,species within day & year (Intercept),8%,7%,9%,"",""
"","","","",random,species within site (Intercept),3%,3%,4%,"",""
"","","","",random,site (Intercept),13%,12%,13%,"",""
"","","","",random,species (Intercept),4%,4%,4%,"",""
"","","","",random,genus (Intercept),12%,10%,14%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,country (Intercept),3%,0%,8%,"",""
"","","","",random,Year (Intercept),12%,6%,18%,"",""
"","","","",random,Residual,44%,34%,54%,"",""
Table S7 - FI a,Escape distance,Gaussian,513,fixed,(Intercept),0.008,-0.19,0.215,"",""
"","","","",fixed,year,-0.088,-0.179,0.008,"",""
"","","","",fixed,starting distance (ln)),0.277,0.197,0.358,"",""
"","","","",fixed,flock size (ln),-0.101,-0.181,-0.02,"",""
"","","","",fixed,body mass (ln),0.079,-0.079,0.237,"",""
"","","","",fixed,time (sine of radians),0.08,-0.013,0.171,"",""
"","","","",fixed,time (cosine of radians),-0.013,-0.095,0.07,"",""
"","","","",fixed,temperaturre,-0.173,-0.276,-0.065,"",""
"","","","",fixed,humans (ln)),-0.121,-0.196,-0.048,"",""
"","","","",random,species within day & year (Intercept),21%,21%,21%,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,site (Intercept),2%,2%,2%,"",""
"","","","",random,species (Intercept),9%,6%,12%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,61%,56%,66%,"",""
