model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",fixed,time (cosine of radians),0.035,-0.021,0.091,"",""
"","","","",fixed,temperature,0.065,-0.007,0.137,"",""
"","","","",fixed,Google Mobility,-0.091,-0.167,-0.019,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random,species (Intercept),14%,12%,17%,"",""
"","","","",random,genus (Intercept),13%,10%,17%,"",""
"","","","",random,site (Intercept),5%,4%,7%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,62%,54%,69%,"",""
Table S1b - CZ b,Escape distance,Gaussian,1054,fixed,(Intercept),0.227,0.02,0.434,"",""
"","","","",fixed,starting distance (ln)),0.344,0.284,0.404,"",""
"","","","",fixed,flock size (ln),0.01,-0.042,0.059,"",""
"","","","",fixed,body mass (ln),0.187,0.029,0.34,"",""
"","","","",fixed,time (sine of radians),0.062,-0.007,0.129,"",""
"","","","",fixed,time (cosine of radians),0.035,-0.02,0.092,"",""
"","","","",fixed,temperature,0.065,-0.005,0.137,"",""
"","","","",fixed,Google Mobility,-0.09,-0.163,-0.016,"",""
"","","","",random,species within site (Intercept),5%,5%,5%,"",""
"","","","",random,species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random,species (Intercept),14%,11%,17%,"",""
"","","","",random,genus (Intercept),13%,10%,17%,"",""
"","","","",random,site (Intercept),5%,4%,7%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,62%,55%,69%,"",""
Table S1b - HU a,Escape distance,Gaussian,874,fixed,(Intercept),0.077,-0.206,0.357,"",""
"","","","",fixed,year,0.166,0.06,0.278,"",""
"","","","",fixed,starting distance (ln)),0.502,0.441,0.565,"",""
"","","","",fixed,flock size (ln),-0.001,-0.054,0.052,"",""
"","","","",fixed,body mass (ln),0.003,-0.141,0.147,"",""
"","","","",fixed,time (sine of radians),-0.126,-0.193,-0.058,"",""
"","","","",fixed,time (cosine of radians),0.016,-0.047,0.082,"",""
"","","","",fixed,temperature,-0.033,-0.116,0.048,"",""
"","","","",fixed,Google Mobility,-0.029,-0.133,0.074,"",""
"","","","",random,species within day & year (Intercept),2%,2%,2%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),1%,1%,1%,"",""
"","","","",random,genus (Intercept),12%,8%,16%,"",""
"","","","",random,weekday (Intercept),1%,0%,2%,"",""
"","","","",random,site (Intercept),9%,5%,13%,"",""
"","","","",random,Residual,74%,65%,83%,"",""
Table S1b - HU b,Escape distance,Gaussian,874,fixed,(Intercept),0.068,-0.406,0.546,0.144833480124391,0.506614696138534
"","","","",fixed,year,0.313,0.186,0.444,"",""
"","","","",fixed,flock size (ln),-0.004,-0.064,0.056,"",""
"","","","",fixed,body mass (ln),0.286,0.062,0.511,"",""
"","","","",fixed,time (sine of radians),-0.167,-0.246,-0.09,"",""
"","","","",fixed,time (cosine of radians),0.035,-0.037,0.108,"",""
"","","","",fixed,temperature,-0.049,-0.142,0.046,"",""
"","","","",fixed,Google Mobility,-0.146,-0.272,-0.016,"",""
"","","","",random,species within day & year (Intercept),2%,2%,2%,"",""
"","","","",random,species within site (Intercept),1%,1%,1%,"",""
"","","","",random,species (Intercept),1%,1%,2%,"",""
"","","","",random,genus (Intercept),27%,20%,32%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,site (Intercept),16%,13%,19%,"",""
"","","","",random,Residual,52%,42%,63%,"",""
Table S1b - AU a,Escape distance,Gaussian,1065,fixed,(Intercept),-0.051,-0.199,0.092,"",""
"","","","",fixed,year,0.028,-0.035,0.089,"",""
"","","","",fixed,starting distance (ln)),0.5,0.448,0.552,"",""
"","","","",fixed,flock size (ln),0.024,-0.024,0.072,"",""
"","","","",fixed,body mass (ln),-0.049,-0.141,0.046,"",""
"","","","",fixed,time (sine of radians),-0.044,-0.118,0.029,"",""
"","","","",fixed,time (cosine of radians),-0.044,-0.112,0.024,"",""
"","","","",fixed,temperature,0.019,-0.039,0.077,"",""
"","","","",fixed,Google Mobility,-0.037,-0.092,0.019,"",""
"","","","",random,species within day & year (Intercept),6%,6%,6%,"",""
"","","","",random,species within site (Intercept),12%,12%,12%,"",""
"","","","",random,species (Intercept),11%,9%,13%,"",""
"","","","",random,genus (Intercept),2%,1%,2%,"",""
"","","","",random,site (Intercept),8%,6%,10%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,61%,56%,65%,"",""
Table S1b - AU b,Escape distancey,Gaussian,1065,fixed,(Intercept),-0.101,-0.295,0.095,"",""
"","","","",fixed,year,0.086,0.01,0.163,"",""
"","","","",fixed,flock size (ln),0.055,0.001,0.109,"",""
"","","","",fixed,body mass (ln),0.066,-0.06,0.189,"",""
"","","","",fixed,time (sine of radians),-0.029,-0.112,0.055,"",""
"","","","",fixed,time (cosine of radians),-0.02,-0.1,0.063,"",""
"","","","",fixed,temperature,0.009,-0.06,0.08,"",""
"","","","",fixed,Google Mobility,-0.027,-0.097,0.043,"",""
"","","","",random,species within day & year (Intercept),7%,7%,7%,"",""
"","","","",random,species within site (Intercept),11%,11%,11%,"",""
"","","","",random,species (Intercept),13%,11%,15%,"",""
"","","","",random,genus (Intercept),6%,5%,7%,"",""
"","","","",random,site (Intercept),10%,8%,13%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,52%,47%,58%,"",""
