model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
"","","","",random,country (Intercept),1%,-2%,4%
"","","","",random,Google Mobility (slope) | country,1%,-2%,4%
"","","","",random,Residual,69%,58%,79%
Table S2c - 3c,Escape distancey,Gaussian,3399,fixed,(Intercept),-0.066,-0.153,0.022
"","","","",fixed,year,0.022,-0.019,0.063
"","","","",fixed,starting distance (ln),0.548,0.518,0.582
"","","","",fixed,flock size (ln),-0.018,-0.047,0.009
"","","","",fixed,body mass (ln),-0.019,-0.048,0.012
"","","","",fixed,time (sine of radians),-0.023,-0.065,0.018
"","","","",fixed,time (cosine of radians),0.015,-0.021,0.052
"","","","",fixed,temperature,0.03,-0.009,0.069
"","","","",fixed,Google Mobility,-0.09,-0.208,0.028
"","","","",random,site (Intercept),11%,10%,13%
"","","","",random,country (Intercept),0%,0%,2%
"","","","",random,Google Mobility (slope) | country,0%,0%,2%
"","","","",random,Residual,88%,83%,91%
