model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S2c - 1a,Escape distance,Gaussian,3644,fixed,(Intercept),0.025,-0.096,0.145
"","","","",fixed,year,0.018,-0.023,0.06
"","","","",fixed,starting distance (ln),0.499,0.466,0.531
"","","","",fixed,flock size (ln),-0.001,-0.027,0.025
"","","","",fixed,body mass (ln),0.024,-0.044,0.092
"","","","",fixed,time (sine of radians),-0.009,-0.049,0.032
"","","","",fixed,time (cosine of radians),0.011,-0.023,0.045
"","","","",fixed,temperature,0.021,-0.017,0.059
"","","","",fixed,Google Mobility,-0.1,-0.229,0.032
"","","","",random,species within day & year (Intercept),6%,5%,6%
"","","","",random,species within site (Intercept),5%,4%,5%
"","","","",random,species (Intercept),7%,7%,8%
"","","","",random,site (Intercept),9%,8%,10%
"","","","",random,genus (Intercept),3%,3%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),1%,-3%,4%
"","","","",random,Google Mobility (slope) | country,1%,-3%,4%
"","","","",random,Residual,68%,61%,78%
Table S2c - 1b,Escape distance,Gaussian,3644,fixed,(Intercept),0.024,-0.094,0.145
"","","","",fixed,year,0.019,-0.022,0.059
"","","","",fixed,starting distance (ln),0.499,0.467,0.529
"","","","",fixed,flock size (ln),-0.002,-0.029,0.024
"","","","",fixed,body mass (ln),0.026,-0.041,0.09
"","","","",fixed,time (sine of radians),-0.009,-0.049,0.031
"","","","",fixed,time (cosine of radians),0.009,-0.024,0.044
"","","","",fixed,temperature,0.022,-0.015,0.06
"","","","",fixed,Google Mobility,-0.099,-0.229,0.031
"","","","",random,species within day & year (Intercept),6%,5%,6%
"","","","",random,species within site (Intercept),5%,4%,5%
"","","","",random,species (Intercept),7%,6%,7%
"","","","",random,site (Intercept),9%,9%,9%
"","","","",random,genus (Intercept),0%,-1%,4%
"","","","",random,Google Mobility (slope) | genus,0%,-1%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),1%,-4%,4%
"","","","",random,Google Mobility (slope) | country,1%,-4%,4%
"","","","",random,Residual,71%,59%,81%
Table S2c - 1c,Escape distance,Gaussian,3644,fixed,(Intercept),-0.056,-0.14,0.029
"","","","",fixed,year,0.013,-0.026,0.052
"","","","",fixed,starting distance (ln),0.559,0.527,0.591
"","","","",fixed,flock size (ln),-0.022,-0.047,0.005
"","","","",fixed,body mass (ln),-0.023,-0.052,0.004
"","","","",fixed,time (sine of radians),-0.033,-0.074,0.008
"","","","",fixed,time (cosine of radians),0.021,-0.014,0.056
"","","","",fixed,temperature,0.031,-0.006,0.069
"","","","",fixed,Google Mobility,-0.087,-0.203,0.033
"","","","",random,site (Intercept),11%,10%,13%
"","","","",random,country (Intercept),1%,-1%,2%
"","","","",random,Google Mobility (slope) | country,1%,-1%,2%
"","","","",random,Residual,88%,83%,92%
Table S2c - 2a,Escape distance,Gaussian,3545,fixed,(Intercept),-0.03,-0.165,0.11
"","","","",fixed,year,0.02,-0.023,0.062
"","","","",fixed,starting distance (ln),0.49,0.458,0.521
"","","","",fixed,flock size (ln),0.004,-0.022,0.031
"","","","",fixed,body mass (ln),-0.02,-0.095,0.055
"","","","",fixed,time (sine of radians),-0.009,-0.049,0.032
"","","","",fixed,time (cosine of radians),0.009,-0.026,0.043
"","","","",fixed,temperature,0.02,-0.016,0.057
"","","","",fixed,Google Mobility,-0.097,-0.228,0.035
"","","","",random,species within day & year (Intercept),6%,5%,6%
"","","","",random,species within site (Intercept),4%,4%,5%
"","","","",random,site (Intercept),9%,8%,9%
"","","","",random,species (Intercept),10%,9%,11%
"","","","",random,genus (Intercept),2%,1%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-5%,5%
"","","","",random,Google Mobility (slope) | country,0%,-5%,5%
"","","","",random,Residual,69%,59%,80%
Table S2c - 2b,Escape distance,Gaussian,3545,fixed,(Intercept),-0.035,-0.169,0.099
"","","","",fixed,year,0.019,-0.023,0.062
"","","","",fixed,starting distance (ln),0.49,0.459,0.523
"","","","",fixed,flock size (ln),0.004,-0.022,0.032
"","","","",fixed,body mass (ln),-0.03,-0.103,0.04
"","","","",fixed,time (sine of radians),-0.011,-0.051,0.032
"","","","",fixed,time (cosine of radians),0.009,-0.024,0.043
"","","","",fixed,temperature,0.021,-0.017,0.059
"","","","",fixed,Google Mobility,-0.091,-0.226,0.041
"","","","",random,species within day & year (Intercept),5%,5%,6%
"","","","",random,species within site (Intercept),4%,4%,5%
"","","","",random,site (Intercept),8%,8%,8%
"","","","",random,species (Intercept),16%,14%,17%
"","","","",random,genus (Intercept),0%,0%,0%
"","","","",random,Google Mobility (slope) | genus,0%,0%,0%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-5%,4%
"","","","",random,Google Mobility (slope) | country,0%,-5%,4%
"","","","",random,Residual,66%,56%,77%
Table S2c - 2c,Escape distance,Gaussian,3545,fixed,(Intercept),-0.056,-0.143,0.03
"","","","",fixed,year,0.014,-0.025,0.054
"","","","",fixed,starting distance (ln),0.551,0.519,0.583
"","","","",fixed,flock size (ln),-0.017,-0.044,0.01
"","","","",fixed,body mass (ln),-0.027,-0.056,0.004
"","","","",fixed,time (sine of radians),-0.033,-0.074,0.008
"","","","",fixed,time (cosine of radians),0.018,-0.017,0.052
"","","","",fixed,temperature,0.031,-0.008,0.069
"","","","",fixed,Google Mobility,-0.083,-0.206,0.032
"","","","",random,site (Intercept),11%,9%,12%
"","","","",random,country (Intercept),0%,-1%,2%
"","","","",random,Google Mobility (slope) | country,0%,-1%,2%
"","","","",random,Residual,88%,84%,93%
Table S2c - 3a,Escape distance,Gaussian,3399,fixed,(Intercept),-0.022,-0.175,0.133
"","","","",fixed,year,0.026,-0.017,0.071
"","","","",fixed,starting distance (ln),0.487,0.455,0.521
"","","","",fixed,flock size (ln),0.002,-0.026,0.028
"","","","",fixed,body mass (ln),0.025,-0.06,0.112
"","","","",fixed,time (sine of radians),0.001,-0.041,0.043
"","","","",fixed,time (cosine of radians),0.008,-0.027,0.042
"","","","",fixed,temperature,0.022,-0.018,0.061
"","","","",fixed,Google Mobility,-0.106,-0.236,0.018
"","","","",random,species within day & year (Intercept),6%,5%,6%
"","","","",random,species within site (Intercept),4%,4%,5%
"","","","",random,site (Intercept),9%,8%,9%
"","","","",random,species (Intercept),7%,6%,9%
"","","","",random,genus (Intercept),3%,2%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-5%,4%
"","","","",random,Google Mobility (slope) | country,0%,-5%,4%
"","","","",random,Residual,70%,60%,81%
Table S2c - 3b,Escape distance,Gaussian,3399,fixed,(Intercept),-0.011,-0.128,0.112
"","","","",fixed,year,0.031,-0.012,0.072
"","","","",fixed,starting distance (ln),0.486,0.454,0.518
"","","","",fixed,flock size (ln),0.002,-0.025,0.029
"","","","",fixed,body mass (ln),0.038,-0.045,0.121
"","","","",fixed,time (sine of radians),-0.003,-0.044,0.039
"","","","",fixed,time (cosine of radians),0.008,-0.027,0.043
"","","","",fixed,temperature,0.023,-0.017,0.062
"","","","",fixed,Google Mobility,-0.128,-0.258,0.002
"","","","",random,species within day & year (Intercept),6%,5%,6%
"","","","",random,species within site (Intercept),4%,4%,5%
"","","","",random,site (Intercept),9%,9%,10%
"","","","",random,species (Intercept),8%,7%,9%
"","","","",random,genus (Intercept),0%,-1%,4%
"","","","",random,Google Mobility (slope) | genus,0%,-1%,4%
"","","","",random,weekday (Intercept),0%,0%,0%
